Date,Close/Last,Volume,Open,High,Low
05/29/2024,$198.11,6120045,$198.00,$198.99,$196.89
05/28/2024,$199.50,6910206,$199.86,$200.41,$198.66
05/24/2024,$200.71,7356233,$197.75,$200.76,$197.56
05/23/2024,$196.92,8069445,$197.81,$198.30,$196.07
05/22/2024,$198.31,9425338,$199.00,$200.935,$197.69
05/21/2024,$199.52,14420800,$197.00,$199.90,$196.60
05/20/2024,$195.58,17373250,$204.39,$205.88,$195.40
05/17/2024,$204.79,9260490,$203.81,$205.05,$202.8149
05/16/2024,$202.47,8497927,$202.22,$204.48,$201.9901
05/15/2024,$202.11,8369975,$202.01,$202.69,$199.77
05/14/2024,$201.51,8596175,$199.00,$201.58,$198.16
05/13/2024,$198.73,7049241,$198.80,$199.85,$198.04
05/10/2024,$198.77,7529790,$198.54,$199.3399,$198.27
05/09/2024,$197.50,7977291,$195.17,$197.59,$195.10
05/08/2024,$195.65,9227561,$191.00,$196.65,$191.00
05/07/2024,$191.75,7688771,$191.70,$192.93,$191.65
05/06/2024,$192.00,7911134,$191.73,$192.20,$189.815
05/03/2024,$190.51,8922775,$192.00,$192.529,$188.46
05/02/2024,$191.66,6501657,$193.07,$193.50,$189.52
05/01/2024,$191.86,7446703,$192.27,$194.46,$190.79
04/30/2024,$191.74,8153681,$192.81,$194.99,$191.64
04/29/2024,$193.28,5411129,$193.48,$194.26,$192.43
04/26/2024,$193.49,6413655,$193.57,$194.87,$193.06
04/25/2024,$193.37,9802265,$192.25,$193.935,$191.18
04/24/2024,$193.08,6964905,$190.53,$193.23,$190.17
04/23/2024,$192.14,9144372,$191.13,$192.225,$190.52
04/22/2024,$189.41,11529670,$185.99,$190.125,$185.98
04/19/2024,$185.80,13402310,$182.40,$185.88,$181.41
04/18/2024,$181.25,9557720,$181.10,$183.36,$179.97
04/17/2024,$180.08,9017093,$181.37,$182.4199,$179.20
04/16/2024,$180.80,16451800,$182.90,$183.16,$179.65
04/15/2024,$182.89,14766590,$184.50,$187.46,$182.195
04/12/2024,$182.79,31532310,$188.32,$188.93,$182.54
04/11/2024,$195.43,10137700,$196.00,$196.57,$193.24
04/10/2024,$195.47,7681377,$195.55,$197.07,$194.18
04/09/2024,$197.15,7358631,$198.07,$198.88,$194.91
04/08/2024,$198.48,8000963,$197.62,$198.98,$197.62
04/05/2024,$197.45,6532278,$196.16,$198.1224,$195.11
04/04/2024,$195.65,9243793,$199.15,$199.68,$195.55
04/03/2024,$198.30,9353426,$199.04,$199.56,$197.70
04/02/2024,$198.86,7014683,$198.39,$199.78,$198.08
04/01/2024,$198.94,7309009,$199.99,$200.94,$198.565
03/28/2024,$200.30,8628313,$199.49,$200.72,$198.54
03/27/2024,$199.52,8725757,$196.50,$199.60,$196.38
03/26/2024,$195.73,5961484,$194.59,$196.66,$194.0554
03/25/2024,$194.82,8620015,$196.60,$196.94,$194.36
03/22/2024,$196.62,8108840,$199.01,$200.48,$196.54
03/21/2024,$199.06,11203800,$196.52,$199.43,$196.33
03/20/2024,$196.33,9367043,$194.19,$196.56,$193.61
03/19/2024,$193.79,8478717,$192.71,$193.93,$192.38
03/18/2024,$192.66,9013843,$190.63,$192.70,$189.89
03/15/2024,$190.30,17214230,$186.48,$190.94,$186.48
03/14/2024,$187.97,10310950,$191.03,$191.63,$187.103
03/13/2024,$191.38,7795535,$190.36,$191.73,$189.84
03/12/2024,$189.84,5708384,$188.95,$190.16,$187.91
03/11/2024,$188.29,5762569,$187.28,$188.44,$186.22
03/08/2024,$188.22,6172199,$188.44,$190.455,$187.92
03/07/2024,$187.87,7618277,$189.91,$190.50,$186.63
03/06/2024,$189.53,7572891,$189.25,$190.07,$187.63
03/05/2024,$188.55,6617832,$186.36,$189.30,$186.36
03/04/2024,$186.68,7063605,$184.71,$187.59,$184.27
03/01/2024,$185.29,6311996,$185.70,$186.44,$185.10
02/29/2024,$186.06,9643012,$185.66,$186.43,$183.85
02/28/2024,$184.38,6131608,$183.43,$185.20,$182.96
02/27/2024,$183.45,5717065,$183.31,$183.54,$182.24
02/26/2024,$183.36,7145391,$183.75,$184.46,$182.48
02/23/2024,$183.99,7105833,$183.81,$185.20,$183.19
02/22/2024,$183.07,9296459,$181.82,$183.42,$181.24
02/21/2024,$180.90,7027857,$179.95,$180.99,$178.52
02/20/2024,$179.73,9667959,$179.19,$180.46,$178.405
02/16/2024,$179.03,8152647,$179.61,$179.98,$178.16
02/15/2024,$179.87,8723390,$176.15,$180.21,$176.15
02/14/2024,$176.03,7056664,$175.07,$176.10,$174.42
02/13/2024,$174.26,8397631,$175.32,$176.2299,$172.615
02/12/2024,$175.79,8539316,$174.78,$176.808,$173.70
02/09/2024,$175.01,6296729,$175.00,$175.10,$173.6731
02/08/2024,$174.80,6060285,$175.00,$175.3058,$173.57
02/07/2024,$175.43,7225478,$175.69,$175.87,$173.96
02/06/2024,$175.10,6765684,$174.61,$175.87,$173.76
02/05/2024,$174.50,7820160,$173.86,$175.09,$172.92
02/02/2024,$174.73,8607839,$173.30,$175.8162,$173.26
02/01/2024,$173.73,9354798,$173.64,$174.84,$171.43
01/31/2024,$174.36,11521820,$176.20,$178.30,$174.34
01/30/2024,$176.27,10822080,$172.83,$176.7603,$172.83
01/29/2024,$172.73,6971192,$172.24,$172.84,$171.30
01/26/2024,$172.28,7442955,$172.61,$173.06,$171.78
01/25/2024,$172.94,8873481,$172.31,$172.99,$170.905
01/24/2024,$170.50,9967060,$169.36,$171.01,$168.8627
01/23/2024,$168.99,8360829,$169.67,$169.75,$168.44
01/22/2024,$170.11,12837510,$170.46,$171.9803,$169.71
01/19/2024,$170.31,13115660,$167.55,$170.57,$167.08
01/18/2024,$167.42,9382255,$167.12,$167.53,$165.24
01/17/2024,$167.09,11107470,$167.34,$169.07,$166.49
01/16/2024,$167.99,17206420,$164.87,$168.09,$164.30
01/12/2024,$169.05,19436500,$173.80,$176.31,$168.90
01/11/2024,$170.30,11919500,$170.33,$170.36,$168.6401
01/10/2024,$171.02,9670218,$170.00,$171.08,$168.95
01/09/2024,$170.66,9923630,$171.62,$171.79,$170.095
01/08/2024,$172.02,11229920,$172.02,$172.36,$169.485
01/05/2024,$172.27,10066030,$171.47,$173.38,$171.47
01/04/2024,$171.41,11972550,$170.64,$173.35,$170.54
01/03/2024,$171.33,9852335,$171.86,$172.04,$170.37
01/02/2024,$172.08,9977424,$169.09,$172.17,$168.91
12/29/2023,$170.10,6435102,$170.00,$170.69,$169.63
12/28/2023,$170.30,6320129,$169.35,$170.66,$168.995
12/27/2023,$169.40,6428643,$167.84,$169.47,$167.58
12/26/2023,$168.39,4683605,$167.46,$168.765,$167.18
12/22/2023,$167.40,6576322,$167.50,$168.23,$167.23
12/21/2023,$167.50,7601678,$166.84,$168.09,$165.675
